calculationType,eventId,note,amount_cents,payoutId,roleType,recipientUserId,stripeTransferId,createdAt,basis_amount_cents,paidAt,currency,effectiveCommissionRate,status,updatedAt,id,created_date,updated_date,created_by_id,is_sample
"percentage_post","69e7695b2859dda1a128a083","Courtage snapshot T1 figé=5.00% = 15$","1500","69e776c64291c03434ee41f8","platform_fee","","","2026-04-23 13:00:47.833+00","1500","2026-04-23 22:41:49.45+00","CAD","","paid","2026-04-23 22:41:49.45+00","69f1f7cb8b6f84386ebd51c8","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"contract_amount","69e7695b2859dda1a128a083","Talent présent — 300$ - fee 5.00% = 285$ [lineup: lineup_placement, commission: snapshot]","28500","69e776c64291c03434ee41f8","talent_payout","698c747aee05acfdd23ea578","tr_1TPVwcEDnfppNFcxDsdvhrNm","2026-04-23 13:00:47.833+00","30000","2026-04-23 22:41:49.45+00","CAD","0.05","paid","2026-04-23 22:41:49.45+00","69f1f7cb8b6f84386ebd51c9","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"percentage_post","69e76b9ff5bd785d483c6526","Courtage snapshot T1 figé=9.00% = 9$","900","69e781fe5c4ed26d3447228e","platform_fee","","","2026-04-23 13:00:44.59+00","900","2026-04-23 22:41:49.45+00","CAD","","paid","2026-04-23 22:41:49.45+00","69f1f7cb8b6f84386ebd51ca","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"contract_amount","69e76b9ff5bd785d483c6526","Talent présent — 100$ - fee 9.00% = 91$ [lineup: lineup_placement, commission: snapshot]","9100","69e781fe5c4ed26d3447228e","talent_payout","698dbd987dbcc355eec0ff7c","tr_1TPVwfEDnfppNFcxyWAsiCt3","2026-04-23 13:00:44.59+00","10000","2026-04-23 22:41:49.45+00","CAD","0.09","paid","2026-04-23 22:41:49.45+00","69f1f7cb8b6f84386ebd51cb","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"percentage_post","69e7a0eecfae6cce66c80590","Courtage snapshot T1 figé=13.80% = 13.8$","1380","69e7afde18397b0fa432c495","platform_fee","","","2026-04-23 13:00:40.898+00","1380","2026-04-23 22:46:29.365+00","CAD","","paid","2026-04-23 22:46:29.365+00","69f1f7cb8b6f84386ebd51cc","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"percentage_post","69e7a0eecfae6cce66c80590","Courtage snapshot T1 figé=5.70% = 9.98$","998","69e7afde18397b0fa432c495","platform_fee","","","2026-04-23 13:00:40.898+00","998","","CAD","","pending","2026-04-23 13:00:40.898+00","69f1f7cb8b6f84386ebd51cd","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"contract_amount","69e7a0eecfae6cce66c80590","Talent présent — 100$ - fee 13.80% = 86.2$ [lineup: lineup_placement, commission: snapshot]","8620","69e7afde18397b0fa432c495","talent_payout","699c655e40e8dc98eacda675","tr_1TPVwjEDnfppNFcxcf9SUhzQ","2026-04-23 13:00:40.898+00","10000","2026-04-23 22:41:49.45+00","CAD","0.138","paid","2026-04-23 22:41:49.45+00","69f1f7cb8b6f84386ebd51ce","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"contract_amount","69e7a0eecfae6cce66c80590","Talent présent — 175$ - fee 5.70% = 165.02$ [lineup: lineup_placement, commission: snapshot]","16502","69e7afde18397b0fa432c495","talent_payout","69cd302266f2193a99122757","tr_1TPW15EDnfppNFcxABmy9maV","2026-04-23 13:00:40.898+00","17500","2026-04-23 22:46:29.365+00","CAD","0.057","paid","2026-04-23 22:46:29.365+00","69f1f7cb8b6f84386ebd51cf","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"percentage_post","69e8b316fbc30cb9a462eec4","Courtage snapshot T1 figé=13.80% = 4.14$","414","69e8bdf9967fd8b3872e2f76","platform_fee","","","2026-04-23 13:00:34.976+00","414","2026-04-23 22:41:49.45+00","CAD","","paid","2026-04-23 22:41:49.45+00","69f1f7cb8b6f84386ebd51d0","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"percentage_post","69e8b316fbc30cb9a462eec4","Courtage snapshot T1 figé=11.40% = 3.42$","342","69e8bdf9967fd8b3872e2f76","platform_fee","","","2026-04-23 13:00:34.976+00","342","","CAD","","pending","2026-04-23 13:00:34.976+00","69f1f7cb8b6f84386ebd51d1","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"percentage_post","69e8b316fbc30cb9a462eec4","Courtage snapshot T1 figé=12.00% = 13.8$","1380","69e8bdf9967fd8b3872e2f76","platform_fee","","","2026-04-23 13:00:34.976+00","1380","","CAD","","pending","2026-04-23 13:00:34.976+00","69f1f7cb8b6f84386ebd51d2","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"contract_amount","69e8b316fbc30cb9a462eec4","Talent présent — 30$ - fee 13.80% = 25.86$ [lineup: lineup_placement, commission: snapshot]","2586","69e8bdf9967fd8b3872e2f76","talent_payout","699c655e40e8dc98eacda675","tr_1TPVwnEDnfppNFcxr6OReKkf","2026-04-23 13:00:34.976+00","3000","2026-04-23 22:41:49.45+00","CAD","0.138","paid","2026-04-23 22:41:49.45+00","69f1f7cb8b6f84386ebd51d3","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"contract_amount","69e8b316fbc30cb9a462eec4","Talent présent — 30$ - fee 11.40% = 26.58$ [lineup: lineup_placement, commission: snapshot]","2658","69e8bdf9967fd8b3872e2f76","talent_payout","698dd1b2193c860027a3457a","tr_1TPVwrEDnfppNFcxj2IPGCHu","2026-04-23 13:00:34.976+00","3000","2026-04-23 22:41:49.45+00","CAD","0.114","paid","2026-04-23 22:41:49.45+00","69f1f7cb8b6f84386ebd51d4","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"contract_amount","69e8b316fbc30cb9a462eec4","Talent présent — 115$ - fee 12.00% = 101.2$ [lineup: lineup_placement, commission: snapshot]","10120","69e8bdf9967fd8b3872e2f76","talent_payout","698d204286a5af9808991620","tr_1TPVwvEDnfppNFcxlrVxvRie","2026-04-23 13:00:34.976+00","11500","2026-04-23 22:41:49.45+00","CAD","0.12","paid","2026-04-23 22:41:49.45+00","69f1f7cb8b6f84386ebd51d5","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"percentage_post","69e5454b680fefef316a8882","Courtage annulation 5% sur part c0ff7c (53.05$)","265","69e7cb8489e1453a5cbf2ed3","platform_fee","","","2026-04-21 19:09:57.12+00","5305","2026-04-23 22:41:49.45+00","CAD","","paid","2026-04-23 22:41:49.45+00","69f1f7cb8b6f84386ebd51d6","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"percentage_post","69e5454b680fefef316a8882","Courtage annulation 5% sur part 122757 (30.95$)","155","69e7cb8489e1453a5cbf2ed3","platform_fee","","","2026-04-21 19:09:57.12+00","3095","2026-04-23 22:46:29.365+00","CAD","","paid","2026-04-23 22:46:29.365+00","69f1f7cb8b6f84386ebd51d7","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"proportional_deposit","69e5454b680fefef316a8882","Part dépôt annulation — contrat 300$ × 63.2% = 53.05$ - fee 5% = 50.4$","5040","69e7cb8489e1453a5cbf2ed3","talent_payout","698dbd987dbcc355eec0ff7c","tr_1TPVwyEDnfppNFcxemhoTa3g","2026-04-21 19:09:57.12+00","30000","2026-04-23 22:41:49.45+00","CAD","0.05","paid","2026-04-23 22:41:49.45+00","69f1f7cb8b6f84386ebd51d8","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"proportional_deposit","69e5454b680fefef316a8882","Part dépôt annulation — contrat 175$ × 36.8% = 30.95$ - fee 5% = 29.4$","2940","69e7cb8489e1453a5cbf2ed3","talent_payout","69cd302266f2193a99122757","tr_1TPW19EDnfppNFcxlTJtQVZ2","2026-04-21 19:09:57.12+00","17500","2026-04-23 22:46:29.365+00","CAD","0.05","paid","2026-04-23 22:46:29.365+00","69f1f7cb8b6f84386ebd51d9","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"percentage_post","69e5948cd7d5ebd74dd54e82","Courtage snapshot T1 figé=6.00% = 6$","600","69e5a56fd88264415d2ddadb","platform_fee","","","2026-04-20 14:15:50.47+00","600","2026-04-20 15:07:20.354+00","CAD","","paid","2026-04-20 15:07:20.354+00","69f1f7cb8b6f84386ebd51da","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"percentage_post","69e5948cd7d5ebd74dd54e82","Courtage snapshot T1 figé=13.20% = 13.2$","1320","69e5a56fd88264415d2ddadb","platform_fee","","","2026-04-20 14:15:50.47+00","1320","","CAD","","pending","2026-04-20 14:15:50.47+00","69f1f7cb8b6f84386ebd51db","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"percentage_post","69e5948cd7d5ebd74dd54e82","Courtage snapshot T1 figé=3.33% = 16.65$","1665","69e5a56fd88264415d2ddadb","platform_fee","","","2026-04-20 14:15:50.47+00","1665","","CAD","","pending","2026-04-20 14:15:50.47+00","69f1f7cb8b6f84386ebd51dc","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"contract_amount","69e5948cd7d5ebd74dd54e82","Talent présent — 100$ - fee 6.00% = 94$ [lineup: lineup_placement, commission: snapshot]","9400","69e5a56fd88264415d2ddadb","talent_payout","69cd302266f2193a99122757","tr_1TOJQ5EDnfppNFcxysdJO3Ot","2026-04-20 14:15:50.47+00","10000","2026-04-20 15:07:20.354+00","CAD","0.06","paid","2026-04-20 15:07:20.354+00","69f1f7cb8b6f84386ebd51dd","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"contract_amount","69e5948cd7d5ebd74dd54e82","Talent présent — 100$ - fee 13.20% = 86.8$ [lineup: lineup_placement, commission: snapshot]","8680","69e5a56fd88264415d2ddadb","talent_payout","699c655e40e8dc98eacda675","tr_1TOJQ9EDnfppNFcxvoLkofeX","2026-04-20 14:15:50.47+00","10000","2026-04-20 15:07:20.354+00","CAD","0.132","paid","2026-04-20 15:07:20.354+00","69f1f7cb8b6f84386ebd51de","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"contract_amount","69e5948cd7d5ebd74dd54e82","Talent présent — 500$ - fee 3.33% = 483.35$ [lineup: lineup_placement, commission: snapshot]","48335","69e5a56fd88264415d2ddadb","talent_payout","69b48a2b7d5c0db589c6bb1c","tr_1TOJQCEDnfppNFcx1u8fFYKt","2026-04-20 14:15:50.47+00","50000","2026-04-20 15:07:20.354+00","CAD","0.0333","paid","2026-04-20 15:07:20.354+00","69f1f7cb8b6f84386ebd51df","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"percentage_post","69e607df1a35938e445b9b2c","Courtage snapshot T1 figé=11.40% = 22.8$","2280","69e613db8dac0176e8694069","platform_fee","","","2026-04-20 14:15:41.069+00","2280","2026-04-23 22:41:49.45+00","CAD","","paid","2026-04-23 22:41:49.45+00","69f1f7cb8b6f84386ebd51e0","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"percentage_post","69e607df1a35938e445b9b2c","Courtage snapshot T1 figé=9.00% = 11.7$","1170","69e613db8dac0176e8694069","platform_fee","","","2026-04-20 14:15:41.069+00","1170","","CAD","","pending","2026-04-20 14:15:41.069+00","69f1f7cb8b6f84386ebd51e1","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"percentage_post","69e607df1a35938e445b9b2c","Courtage snapshot T1 figé=8.55% = 18.81$","1881","69e613db8dac0176e8694069","platform_fee","","","2026-04-20 14:15:41.069+00","1881","","CAD","","pending","2026-04-20 14:15:41.069+00","69f1f7cb8b6f84386ebd51e2","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"percentage_post","69e607df1a35938e445b9b2c","Courtage snapshot T1 figé=12.00% = 18$","1800","69e613db8dac0176e8694069","platform_fee","","","2026-04-20 14:15:41.069+00","1800","","CAD","","pending","2026-04-20 14:15:41.069+00","69f1f7cb8b6f84386ebd51e3","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"contract_amount","69e607df1a35938e445b9b2c","Talent présent — 200$ - fee 11.40% = 177.2$ [lineup: lineup_placement, commission: snapshot]","17720","69e613db8dac0176e8694069","talent_payout","698dd1b2193c860027a3457a","tr_1TOJQGEDnfppNFcxDz2RVsHu","2026-04-20 14:15:41.069+00","20000","2026-04-20 15:07:20.354+00","CAD","0.114","paid","2026-04-20 15:07:20.354+00","69f1f7cb8b6f84386ebd51e4","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"contract_amount","69e607df1a35938e445b9b2c","Talent présent — 130$ - fee 9.00% = 118.3$ [lineup: lineup_placement, commission: snapshot]","11830","69e613db8dac0176e8694069","talent_payout","698dc6f781b400b640a229f6","tr_1TOJQOEDnfppNFcxpbweypJm","2026-04-20 14:15:41.069+00","13000","2026-04-20 15:07:20.354+00","CAD","0.09","paid","2026-04-20 15:07:20.354+00","69f1f7cb8b6f84386ebd51e5","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"contract_amount","69e607df1a35938e445b9b2c","Talent présent — 220$ - fee 8.55% = 201.19$ [lineup: lineup_placement, commission: snapshot]","20119","69e613db8dac0176e8694069","talent_payout","698dbd987dbcc355eec0ff7c","tr_1TPVx2EDnfppNFcxg3nI3hCM","2026-04-20 14:15:41.069+00","22000","2026-04-23 22:41:49.45+00","CAD","0.0855","paid","2026-04-23 22:41:49.45+00","69f1f7cb8b6f84386ebd51e6","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"contract_amount","69e607df1a35938e445b9b2c","Talent présent — 150$ - fee 12.00% = 132$ [lineup: lineup_placement, commission: snapshot]","13200","69e613db8dac0176e8694069","talent_payout","698d204286a5af9808991620","tr_1TOJQTEDnfppNFcxooMl0QQD","2026-04-20 14:15:41.069+00","15000","2026-04-20 15:07:20.354+00","CAD","0.12","paid","2026-04-20 15:07:20.354+00","69f1f7cb8b6f84386ebd51e7","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"percentage_post","69e60a1a009afd50a6bb2800","Courtage snapshot T1 figé=5.70% = 2.85$","285","69e6142e7468c4120c33b07e","platform_fee","","","2026-04-20 14:15:29.198+00","285","2026-04-23 22:46:29.365+00","CAD","","paid","2026-04-23 22:46:29.365+00","69f1f7cb8b6f84386ebd51e8","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"percentage_post","69d80cabe1336b871a5d61ac","Courtage MR-PLAN-E-2026-01 Tier E (5.0%) × SOTS 3.7 mod 1 = 5.00% = 5$","500","69d81566852e04c7ad1bdb74","platform_fee","","","2026-04-27 15:07:14.574+00","500","","CAD","","pending","2026-04-27 15:07:14.574+00","69f1f7cb8b6f84386ebd51e9","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"contract_amount","69d80cabe1336b871a5d61ac","Talent présent — 100$ - fee 5.00% = 95$ [lineup: snapshot_fallback, commission: live]","9500","69d81566852e04c7ad1bdb74","talent_payout","698c747aee05acfdd23ea578","tr_1TRX8AEDnfppNFcxEPk6Y1Rz","2026-04-27 15:07:14.574+00","10000","2026-04-29T12:22:12.765Z","CAD","0.05","paid","2026-04-29T12:22:12.765Z","69f1f7cb8b6f84386ebd51ea","2026-04-29T12:21:31.010000","2026-04-29T12:22:19.592000","698c747aee05acfdd23ea578","false"
"percentage_post","69d81648bd82e7282106ec34","Courtage MR-PLAN-E-2026-01 Tier E (5.0%) × SOTS 3.7 mod 1 = 5.00% = 3.16$ [UNDERFUNDED: contrat 100$ → effectif 63.2$ (ratio 0.632)]","316","69d8188184ca00a4436c83f9","platform_fee","","","2026-04-27 15:07:08.136+00","10000","","CAD","","pending","2026-04-27 15:07:08.136+00","69f1f7cb8b6f84386ebd51eb","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"contract_amount","69d81648bd82e7282106ec34","Talent présent — 63.2$ - fee 5.00% = 60.04$ [lineup: snapshot_fallback, commission: live] [UNDERFUNDED: contrat 100$ → effectif 63.2$ (ratio 0.632)]","6004","69d8188184ca00a4436c83f9","talent_payout","698c747aee05acfdd23ea578","tr_1TRX8DEDnfppNFcxdWmCRstX","2026-04-27 15:07:08.136+00","10000","2026-04-29T12:22:12.765Z","CAD","0.05","paid","2026-04-29T12:22:12.765Z","69f1f7cb8b6f84386ebd51ec","2026-04-29T12:21:31.010000","2026-04-29T12:22:22.201000","698c747aee05acfdd23ea578","false"
"percentage_post","69de2ba8d376f0e18d386d30","Courtage MR-PLAN-A-2024-01 Tier A (12.0%) × SOTS 3.8 mod 1 = 12.00% = 33.98$ [UNDERFUNDED: contrat 354$ → effectif 283.2$ (ratio 0.800)]","3398","69de2d6646b52ab007e5e2a7","platform_fee","","","2026-04-27 15:07:02.387+00","35400","","CAD","","pending","2026-04-27 15:07:02.387+00","69f1f7cb8b6f84386ebd51ed","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"contract_amount","69de2ba8d376f0e18d386d30","Talent présent — 283.2$ - fee 12.00% = 249.22$ [lineup: snapshot_fallback, commission: live] [UNDERFUNDED: contrat 354$ → effectif 283.2$ (ratio 0.800)]","24922","69de2d6646b52ab007e5e2a7","talent_payout","698dd1b2193c860027a3457a","","2026-04-27 15:07:02.387+00","35400","","CAD","0.12","pending","2026-04-27 15:07:02.387+00","69f1f7cb8b6f84386ebd51ee","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"percentage_post","69ea11a48f571b434985fe92","Courtage snapshot T1 figé=11.40% = 20.52$","2052","69ea1bf48467d0f8ece688cb","platform_fee","","","2026-04-27 15:06:48.77+00","2052","","CAD","","pending","2026-04-27 15:06:48.77+00","69f1f7cb8b6f84386ebd51ef","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
