momentScore,isPublishedInExplore,momentumDelta,momentumScore,startedAt,rarityScore,timeUrgencyScore,styleCoherenceScore,expiresAt,checkpointSystemId,ctaType,momentKey,sceneId,momentType,closedAt,headline,subheadline,domainKey,status,predictedPeakAt,id,created_date,updated_date,created_by_id,is_sample
"20","false","10","20","2026-04-20T03:25:38.050Z","0","0","0","2026-04-20T06:25:38.527Z","NC-0000000014","join_session","NC-0000000014_music_2026-04-20","","emergence","2026-04-20T14:17:50.151Z","NC-0000000014 — activité en cours","1 session active","music","closed","","69e59cb29cd465868b1ba074","2026-04-20T03:25:38.732000","2026-04-20T14:17:51.105000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"20","false","10","20","2026-04-20T03:25:28.402Z","0","0","0","2026-04-20T06:25:28.815Z","NC-0000000014","join_session","NC-0000000014_music_2026-04-20","","emergence","2026-04-20T14:17:50.151Z","BRASSERIE LOUKS — activité en cours","1 session active","music","closed","","69e59ca84f7860cdb23ed523","2026-04-20T03:25:28.985000","2026-04-20T14:17:51.118000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"20","false","10","20","2026-04-20T03:22:23.305Z","0","0","0","2026-04-20T06:22:23.670Z","NC-0000000124","join_session","NC-0000000124_music_2026-04-20","","emergence","2026-04-20T14:17:50.151Z","Soubois — activité en cours","1 session active","music","closed","","69e59befbc678149728bd0b9","2026-04-20T03:22:23.829000","2026-04-20T14:17:51.119000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"20","false","10","20","2026-04-20T02:11:03.652Z","0","0","0","2026-04-20T05:11:04.295Z","NC-0000000011","join_session","NC-0000000011_music_2026-04-20","","emergence","2026-04-20T14:17:50.151Z","Le Club L — activité en cours","1 session active","music","closed","","69e58b384f4920c7111724a8","2026-04-20T02:11:04.496000","2026-04-20T14:17:51.113000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"20","false","10","20","2026-04-20T02:07:10.705Z","0","0","0","2026-04-20T05:07:11.092Z","NC-0000000030","join_session","NC-0000000030_music_2026-04-20","","emergence","2026-04-20T14:17:50.151Z","Honky Tonk — activité en cours","1 session active","music","closed","","69e58a4f3a4ec355af38b729","2026-04-20T02:07:11.272000","2026-04-20T14:17:51.120000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"20","false","10","20","2026-04-20T01:59:49.355Z","0","0","0","2026-04-20T04:59:49.653Z","NC-0000000122","join_session","NC-0000000122_music_2026-04-20","","emergence","2026-04-20T14:17:50.151Z","NC-0000000122 — activité en cours","1 session active","music","closed","","69e588953584da1a1cf62e6f","2026-04-20T01:59:49.786000","2026-04-20T14:17:51.102000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"20","false","10","20","2026-04-20T01:59:39.014Z","0","0","0","2026-04-20T04:59:39.502Z","NC-0000000122","join_session","NC-0000000122_music_2026-04-20","","emergence","2026-04-20T14:17:50.151Z","Brasserie Brewskey — activité en cours","1 session active","music","closed","","69e5888b95ffd8e24905004b","2026-04-20T01:59:39.686000","2026-04-20T14:17:51.103000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"20","false","10","20","2026-04-20T01:58:04.697Z","0","0","0","2026-04-20T04:58:05.070Z","NC-0000000107","join_session","NC-0000000107_music_2026-04-20","","emergence","2026-04-20T14:17:50.151Z","Vol de nuit — activité en cours","1 session active","music","closed","","69e5882d31d0994382b180d3","2026-04-20T01:58:05.212000","2026-04-20T14:17:51.092000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"20","false","10","20","2026-04-20T01:53:45.166Z","0","0","0","2026-04-20T04:53:45.532Z","NC-0000000104","join_session","NC-0000000104_music_2026-04-20","","emergence","2026-04-20T14:17:50.151Z","Afro Lounge — activité en cours","1 session active","music","closed","","69e587294f7db9778eb80fc9","2026-04-20T01:53:45.689000","2026-04-20T14:17:51.131000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"20","false","10","20","2026-04-20T01:18:00.412Z","0","0","0","2026-04-20T04:18:00.872Z","NC-0000000108","join_session","NC-0000000108_music_2026-04-20","","emergence","2026-04-20T14:17:50.151Z","LE TERMINAL — activité en cours","1 session active","music","closed","","69e57ec9bc62e135054052c8","2026-04-20T01:18:01.072000","2026-04-20T14:17:51.106000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"20","false","10","20","2026-04-17T17:24:26.556Z","0","0","0","2026-04-17T20:24:27.035Z","NC-0000000249","join_session","NC-0000000249_music_2026-04-17","","emergence","2026-04-20T14:17:50.151Z","Ausgang Plaza — activité en cours","1 session active","music","closed","","69e26ccb51989d35e916093f","2026-04-17T17:24:27.325000","2026-04-20T14:17:51.085000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"20","false","10","20","2026-04-15T15:20:50.157Z","0","0","0","2026-04-15T18:20:50.492Z","NC-0000000135","join_session","NC-0000000135_music_2026-04-15","","emergence","2026-04-20T14:17:50.151Z","Bar kabinet — activité en cours","1 session active","music","closed","","69dfacd226406d7ae2828602","2026-04-15T15:20:50.666000","2026-04-20T14:17:51.037000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"20","false","10","20","2026-04-08T18:11:05.597Z","0","0","0","2026-04-08T21:11:06.083Z","NC-0000000101","join_session","NC-0000000101_music_2026-04-08","","emergence","2026-04-12T13:01:06.823Z","Pelicano — activité en cours","1 session active","music","closed","","69d69a3a6ffe1c50c26d7b30","2026-04-08T18:11:06.293000","2026-04-12T13:01:07.295000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"20","false","10","20","2026-04-06T20:39:13.729Z","0","0","0","2026-04-06T23:39:14.199Z","NC-0000000095","join_session","NC-0000000095_music_2026-04-06","","emergence","2026-04-12T13:01:06.823Z","Le Red Room — activité en cours","1 session active","music","closed","","69d419f2765d5fdd4fa26bf1","2026-04-06T20:39:14.347000","2026-04-12T13:01:07.483000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"9","false","-91","9","2026-04-04T13:01:00.919Z","0","0","0","2026-04-04T16:01:00.919Z","NC-0000000165","join_session","NC-0000000165_music_2026-04-04","","persistence","2026-04-05T13:01:00.824Z","Kampus Coworking — la scène musique reste actif","1 session(s) ouverte(s)","music","closed","","69d10b8dd85e4e1407404b3a","2026-04-04T13:01:01.451000","2026-04-05T13:01:01.434000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"20","false","10","20","2026-04-03T16:37:59.163Z","0","0","0","2026-04-03T19:37:59.645Z","NC-0000000169","join_session","NC-0000000169_music_2026-04-03","","emergence","2026-04-04T13:01:00.919Z","Agence Modroom — activité en cours","1 session active","music","closed","","69cfece7a9ce2b2dcfd18cad","2026-04-03T16:37:59.790000","2026-04-04T13:01:01.949000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"34","false","6","22","2026-04-03T13:01:00.828Z","0","0","0","2026-04-03T16:01:00.828Z","NC-0000000095","explore_checkpoint","NC-0000000095_music_2026-04-03","","persistence","2026-04-04T13:01:00.919Z","Le Red Room — la scène musique reste actif","Lieu en activité","music","closed","","69cfba0d0a1a53ab84c8792e","2026-04-03T13:01:01.313000","2026-04-04T13:01:02.209000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"300","false","100","100","2026-04-03T11:09:27.582Z","0","0","0","2026-04-03T14:09:28.057Z","NC-0000000165","join_session","NC-0000000165_music_2026-04-03","","emergence","2026-04-04T13:01:00.919Z","Kampus Coworking — la scène musique atteint son peak","1 session(s) ouverte(s) · 7 complétée(s) · 1 check-in(s) récent(s)","music","closed","","69cf9fe8aa3a9e41a0f8077c","2026-04-03T11:09:28.213000","2026-04-04T13:01:02.434000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"16","false","-6","16","2026-04-02T17:26:49.984Z","0","0","0","2026-04-02T20:26:49.984Z","NC-0000000095","join_session","NC-0000000095_music_2026-04-02","","emergence","2026-04-02T20:26:50.104Z","Le Red Room — la scène musique reste actif","6 session(s) ouverte(s)","music","closed","","69cea6da649ebf90a314e261","2026-04-02T17:26:50.478000","2026-04-02T21:54:14.476000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"9","false","-3","9","2026-04-01T18:24:31.660Z","0","0","0","2026-04-01T21:24:32.040Z","NC-0000000105","join_session","NC-0000000105_music_2026-04-01","","emergence","2026-04-01T21:26:50.065Z","BAR LE FURCO — la scène musique reste actif","Activité récente","music","closed","","69cd62e0f39a30529ee944e8","2026-04-01T18:24:32.218000","2026-04-01T22:26:50.552000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"9","false","-3","9","2026-04-01T15:26:19.941Z","0","0","0","2026-04-01T18:26:20.318Z","NC-0000000035","join_session","NC-0000000035_music_2026-04-01","","emergence","2026-04-01T18:26:50.140Z","LE PETIT 26 — la scène musique reste actif","Activité récente","music","closed","","69cd391c5aa567d23f49c016","2026-04-01T15:26:20.461000","2026-04-01T18:26:51.108000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"22","false","0","22","2026-03-31T09:26:50.280Z","0","0","0","2026-03-31T12:26:50.280Z","NC-0000000156","explore_checkpoint","NC-0000000156_music_2026-03-31","","persistence","2026-03-31T13:26:50.138Z","BAR DISCOTHEQUE UNITY III — la scène musique reste actif","Lieu en activité","music","closed","","69cb935aa220500dbb6d1fb0","2026-03-31T09:26:50.660000","2026-03-31T13:26:50.717000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"20","false","10","20","2026-03-30T22:34:22.613Z","0","0","0","2026-03-31T01:34:23.025Z","NC-0000000123","join_session","NC-0000000123_music_2026-03-30","","emergence","2026-03-31T09:26:50.280Z","TRH-BAR — activité en cours","1 session active","music","closed","","69cafa6ffbad1adf8235b16a","2026-03-30T22:34:23.189000","2026-03-31T09:26:51.072000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"23","false","-1","23","2026-03-29T01:50:34.782Z","0","0","0","2026-03-29T04:50:35.164Z","NC-0000000156","join_session","NC-0000000156_music_2026-03-29","","emergence","2026-03-31T09:26:50.280Z","BAR DISCOTHEQUE UNITY III — la scène musique reste actif","Lieu en activité","music","closed","","69c8856b607e7643bb0ce19c","2026-03-29T01:50:35.292000","2026-03-31T09:26:51.300000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"20","false","10","20","2026-03-28T13:17:11.689Z","0","0","0","2026-03-28T16:17:12.022Z","NC-0000000049","join_session","NC-0000000049_music_2026-03-28","","emergence","2026-03-28T16:19:19.104Z","LE TREFLE DE VERDUN — activité en cours","1 session active","music","closed","","69c7d4d842e59a2a37fd29c8","2026-03-28T13:17:12.144000","2026-03-28T16:19:19.639000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"20","false","10","20","2026-03-28T13:14:05.956Z","0","0","0","2026-03-28T16:14:06.626Z","NC-0000000050","join_session","NC-0000000050_music_2026-03-28","","emergence","2026-03-28T16:14:19.103Z","Verdun Beach — activité en cours","1 session active","music","closed","","69c7d41e5605970477567014","2026-03-28T13:14:06.750000","2026-03-28T16:14:19.551000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"20","false","10","20","2026-03-28T13:11:38.386Z","0","0","0","2026-03-28T16:11:38.735Z","NC-0000000095","join_session","NC-0000000095_music_2026-03-28","","emergence","2026-03-28T16:14:19.103Z","Le Red Room — activité en cours","1 session active","music","closed","","69c7d38aad23c66d8680a471","2026-03-28T13:11:38.879000","2026-03-28T16:14:19.719000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"8","false","0","8","2026-03-25T13:16:26.378Z","0","0","0","2026-03-25T16:16:26.378Z","NC-0000000029","join_session","NC-0000000029_music_2026-03-25","","persistence","2026-03-25T16:21:26.199Z","Bobby's — la scène musique reste actif","1 session(s) ouverte(s)","music","closed","","69c3e02a182f4f856f421f01","2026-03-25T13:16:26.826000","2026-03-25T16:21:27.153000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"8","false","0","8","2026-03-25T12:46:26.235Z","0","0","0","2026-03-25T15:46:26.235Z","NC-0000000019","join_session","NC-0000000019_music_2026-03-25","","persistence","2026-03-25T15:46:26.293Z","BAR LANJEU — la scène musique reste actif","1 session(s) ouverte(s)","music","closed","","69c3d9225070d7be1d4e25bd","2026-03-25T12:46:26.675000","2026-03-25T15:46:26.868000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"22","false","7","8","2026-03-25T12:31:26.184Z","0","0","0","2026-03-25T15:31:26.184Z","NC-0000000067","join_session","NC-0000000067_music_2026-03-25","","persistence","2026-03-25T15:31:26.270Z","Bar la marche à côté — la scène musique reste actif","1 session(s) ouverte(s)","music","closed","","69c3d59ebb8337dfb9f612bd","2026-03-25T12:31:26.861000","2026-03-25T15:41:27.013000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"8","false","0","8","2026-03-25T12:16:26.139Z","0","0","0","2026-03-25T15:16:26.139Z","NC-0000000106","join_session","NC-0000000106_music_2026-03-25","","persistence","2026-03-25T15:16:26.235Z","GRENADE BAR — la scène musique reste actif","1 session(s) ouverte(s)","music","closed","","69c3d21a09d08f53fab7bcb4","2026-03-25T12:16:26.562000","2026-03-25T15:16:26.693000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"24","false","8","8","2026-03-25T11:56:26.113Z","0","0","0","2026-03-25T14:56:26.113Z","NC-0000000101","join_session","NC-0000000101_music_2026-03-25","","persistence","2026-03-25T14:56:26.307Z","Pelicano — la scène musique reste actif","1 session(s) ouverte(s)","music","closed","","69c3cd6a138f57a1cb429a1e","2026-03-25T11:56:26.572000","2026-03-25T14:56:26.699000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"9","false","0","9","2026-03-25T11:31:26.175Z","0","0","0","2026-03-25T14:31:26.175Z","NC-0000000095","join_session","NC-0000000095_music_2026-03-25","","emergence","2026-03-25T14:31:26.258Z","Le Red Room — la scène musique reste actif","Activité récente","music","closed","","69c3c78e50080e62375b54c4","2026-03-25T11:31:26.602000","2026-03-25T14:31:27.266000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"9","false","-1","9","2026-03-25T11:21:26.323Z","0","0","0","2026-03-25T14:21:26.323Z","NC-0000000165","explore_checkpoint","NC-0000000165_music_2026-03-25","","persistence","2026-03-25T14:26:26.201Z","Kampus Coworking — la scène musique reste actif","2 check-in(s) récent(s)","music","closed","","69c3c536ec15c2bb41e6ad11","2026-03-25T11:21:26.703000","2026-03-25T17:46:26.945000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"75","false","25","25","2026-03-25T11:11:10.968Z","0","0","0","2026-03-25T14:11:10.968Z","NC-0000000073","explore_checkpoint","NC-0000000073_music_2026-03-25","","emergence","2026-03-25T14:11:26.236Z","NhauBar — la scène musique s’éveille","1 session(s) complétée(s)","music","closed","","69c3c2d02ba4a50f3c6a6a86","2026-03-25T11:11:12.058000","2026-03-25T14:11:26.839000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"96","false","32","32","2026-03-25T11:11:10.968Z","0","0","0","2026-03-25T14:11:10.968Z","NC-0000000004","explore_checkpoint","NC-0000000004_music_2026-03-25","","emergence","2026-03-25T14:11:26.236Z","Club la roue — la scène musique s’éveille","2 session(s) complétée(s)","music","closed","","69c3c2cf524b17b9b2075c7f","2026-03-25T11:11:11.727000","2026-03-25T14:11:27.090000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"42","false","14","14","2026-03-25T11:11:10.968Z","0","0","0","2026-03-25T14:11:10.968Z","NC-0000000013","explore_checkpoint","NC-0000000013_music_2026-03-25","","emergence","2026-03-25T14:11:26.236Z","BAR SASKA — la scène musique s’éveille","1 session(s) complétée(s)","music","closed","","69c3c2cfe9fd74c890c1d99a","2026-03-25T11:11:11.385000","2026-03-25T14:11:27.361000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"20","false","10","20","2026-03-24T15:33:14.384Z","0","0","0","2026-03-24T18:33:14.720Z","NC-0000000204","join_session","NC-0000000204_music_2026-03-24","","emergence","2026-03-25T11:11:10.968Z","Evanov — activité en cours","1 session active","music","closed","","69c2aebaf9dad07711beeaae","2026-03-24T15:33:14.853000","2026-03-25T11:11:12.447000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"37.2","false","12.4","12.4","2026-03-17T13:51:30.045Z","0","0","0","2026-03-17T16:51:30.045Z","NC-0000000067","explore_checkpoint","NC-0000000067_music_2026-03-17","","emergence","2026-03-25T11:11:10.968Z","Bar la marche à côté — la scène musique s’éveille","1 session(s) complétée(s)","music","closed","","69b95c624751a9f42e6dd55d","2026-03-17T13:51:30.867000","2026-03-25T11:11:12.638000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"129.60000000000002","false","43.2","43.2","2026-03-17T13:51:30.045Z","0","0","0","2026-03-17T16:51:30.045Z","NC-0000000122","join_session","NC-0000000122_music_2026-03-17","","emergence","2026-03-25T11:11:10.968Z","Brasserie Brewskey — la scène musique s’éveille","1 session(s) ouverte(s) · 3 session(s) complétée(s)","music","closed","","69b95c62680ac3a63ddfba4e","2026-03-17T13:51:30.557000","2026-03-25T11:11:12.816000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"27","false","9","9","2026-03-17T13:51:30.045Z","0","0","0","2026-03-17T16:51:30.045Z","NC-0000000146","explore_checkpoint","NC-0000000146_music_2026-03-17","","persistence","2026-03-25T11:11:10.968Z","LOBBY BAR — la scène musique reste actif","Activité légère","music","closed","","69b95c62022449553b28a057","2026-03-17T13:51:30.369000","2026-03-25T11:11:13.044000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"10.6","false","0","10.6","2026-03-12T20:55:42.594Z","0","0","0","2026-03-12T22:55:42.594Z","NC-0000000248","explore_checkpoint","NC-0000000248_humour_2026-03-12","","emergence","2026-03-17T13:51:30.045Z","NC-0000000248 — la scène humour s'éveille","1 session(s) confirmée(s)","humour","closed","","69b32853493c67dbf6cf213d","2026-03-12T20:55:47.636000","2026-03-17T13:51:31.235000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"10.4","false","0","12.4","2026-03-12T20:55:42.594Z","0","0","0","2026-03-12T22:55:42.594Z","NC-0000000225","explore_checkpoint","NC-0000000225_music_2026-03-12","","emergence","2026-03-17T13:51:30.045Z","NC-0000000225 — la scène musique s'éveille","1 session(s) confirmée(s)","music","closed","","69b3285367591b07375e488f","2026-03-12T20:55:47.241000","2026-03-17T13:51:31.455000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"10.4","false","0","10.4","2026-03-12T20:55:42.594Z","0","0","0","2026-03-12T22:55:42.594Z","NC-0000000250","explore_checkpoint","NC-0000000250_music_2026-03-12","","emergence","2026-03-17T13:51:30.045Z","NC-0000000250 — la scène musique s'éveille","1 session(s) confirmée(s)","music","closed","","69b32852f7158ec9dbe06e89","2026-03-12T20:55:46.869000","2026-03-17T13:51:31.644000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"10.4","false","0","10.4","2026-03-12T20:55:42.594Z","0","0","0","2026-03-12T22:55:42.594Z","NC-0000000254","explore_checkpoint","NC-0000000254_music_2026-03-12","","emergence","2026-03-17T13:51:30.045Z","NC-0000000254 — la scène musique s'éveille","1 session(s) confirmée(s)","music","closed","","69b328527ec60820007adae9","2026-03-12T20:55:46.489000","2026-03-17T13:51:31.922000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"10.6","false","0","16.6","2026-03-12T20:55:42.594Z","0","0","0","2026-03-12T22:55:42.594Z","NC-0000000264","explore_checkpoint","NC-0000000264_music_2026-03-12","","emergence","2026-03-17T13:51:30.045Z","NC-0000000264 — la scène musique s'éveille","1 session(s) confirmée(s)","music","closed","","69b3285222126a4aae049eb2","2026-03-12T20:55:46.105000","2026-03-17T13:51:32.093000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"10.4","false","0","12.4","2026-03-12T20:55:42.594Z","0","0","0","2026-03-12T22:55:42.594Z","NC-0000000272","explore_checkpoint","NC-0000000272_music_2026-03-12","","emergence","2026-03-17T13:51:30.045Z","NC-0000000272 — la scène musique s'éveille","1 session(s) confirmée(s)","music","closed","","69b3284fbb14a6e28f6017bf","2026-03-12T20:55:43.863000","2026-03-17T13:51:32.294000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"10.6","false","0","14.6","2026-03-12T20:55:42.594Z","0","0","0","2026-03-12T22:55:42.594Z","NC-0000000261","explore_checkpoint","NC-0000000261_humour_2026-03-12","","emergence","2026-03-17T13:51:30.045Z","NC-0000000261 — la scène humour s'éveille","1 session(s) confirmée(s)","humour","closed","","69b3284f5d4f72f0041bc501","2026-03-12T20:55:43.036000","2026-03-17T13:51:32.571000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"10.6","false","0","14.6","2026-03-11T02:02:37.749Z","0","0","0","2026-03-11T04:02:37.749Z","NC-0000000261","explore_checkpoint","NC-0000000261_humour_2026-03-11","","emergence","2026-03-12T20:55:42.594Z","Maison de la Culture de Verdun — la scène humour s'éveille","1 session(s) confirmée(s)","humour","closed","","69b0cd3e6e0d71deff02ba05","2026-03-11T02:02:38.272000","2026-03-12T20:55:48.028000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"10.4","false","0","12.4","2026-03-11T01:32:37.664Z","0","0","0","2026-03-11T03:32:37.664Z","NC-0000000272","join_session","NC-0000000272_music_2026-03-11","","emergence","2026-03-12T20:55:42.594Z","Infrarouge — la scène musique s'éveille","1 session(s) confirmée(s)","music","closed","","69b0c63611c45375cfaf021d","2026-03-11T01:32:38.007000","2026-03-12T20:55:48.292000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"10.6","false","0","16.6","2026-03-11T01:25:02.592Z","0","0","0","2026-03-11T03:25:02.592Z","NC-0000000264","join_session","NC-0000000264_music_2026-03-11","","emergence","2026-03-11T01:42:37.668Z","On location — la scène musique s'éveille","1 session(s) confirmée(s)","music","closed","","69b0c46e4dec64fcad9af515","2026-03-11T01:25:02.917000","2026-03-11T02:09:22.546000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"10.4","false","0","12.4","2026-03-11T01:24:31.647Z","0","0","0","2026-03-11T03:24:31.647Z","NC-0000000225","explore_checkpoint","NC-0000000225_music_2026-03-11","","emergence","2026-03-12T20:55:42.594Z","Ambigu — la scène musique s'éveille","1 session(s) confirmée(s)","music","closed","","69b0c450643528ea880d49ca","2026-03-11T01:24:32.689000","2026-03-12T20:55:48.511000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"10.4","false","0","10.4","2026-03-11T01:24:31.647Z","0","0","0","2026-03-11T03:24:31.647Z","NC-0000000250","explore_checkpoint","NC-0000000250_music_2026-03-11","","emergence","2026-03-12T20:55:42.594Z","MEDIA UB INC. — la scène musique s'éveille","1 session(s) confirmée(s)","music","closed","","69b0c45085c9af88def32587","2026-03-11T01:24:32.478000","2026-03-12T20:55:48.774000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
